Año,Relación víctima-femicida,Categoría Red Chilena,Antecedentes ley VIF,Sernam,Tipificación penal,Situación judicial: estado femicida
2021,Cónyuge,Femicidio íntimo,No,Si,Femicidio íntimo,Deceso
2021,Ex conviviente,Femicidio íntimo,No,Si,Femicidio íntimo,Prófugo
2021,Amigo,Femicidio no íntimo,No,Sí,Femicidio no íntimo,Prisión preventiva
2021,Pareja,Femicidio íntimo,No,Sí,Femicidio íntimo,Prisión preventiva
2021,Pareja,Femicidio íntimo,No,Si,Femicidio íntimo,Prisión preventiva
2021,Arrendatario,Femicidio no íntimo,No,Si,Violación con homicidio,Prisión preventiva
2021,Conocido,Femicidio no íntimo,No,Si,Femicidio no íntimo,Prisión preventiva
2021,Pareja,Femicidio íntimo,No,Sí,Femicidio íntimo,Deceso
2021,Pareja,Femicidio íntimo,No,Si,Femicidio íntimo,Prisión preventiva
2021,Pareja,NA,NA,No,NA,Prófugo
